Nume ,Cod,Pret,UM,Furnizor,Producator,Cod Furnizor,,Grosime,Latime,Lungime
Suport_polita_negru,'103340145,0.12,,Schachermayer,Hafele,103340145,,,,
Maner_Inox_Negru_96,'112.04.082,9,Buc,Schachermayer,Hafele,,,,,
Maner_la_Alegere,'Kuz_rendom_01,75,Buc,La Alegere,La Alegere,Kuz_rendom_01,,,,
Suport_prindere_Bara_Haine_Polita,'103385263,22.61,,Schachermayer,Hafele,103385263,,,,
Suport_bara_haine_h_75mm,'2000000052137,6.95,,MaM_Bricolaj,MaM_Bricolaj,2.00E+12,,,,
Tandem_Ext_Total_250,'560F2500B,116,Set,Schachermayer,BLUM,103331866,,,,
Tandem_Ext_Total_270,'560F2700B,115,Set,Schachermayer,BLUM,103331867,,,,
Tandem_Ext_Total_300,'560F300B,115,Set,Schachermayer,BLUM,103331868,,,,
Tandem_Ext_Total_350,'560F3500B,115,Set,Schachermayer,BLUM,103331869,,,,
Tandem_Ext_Total_400,'560F4000B,116,Set,Schachermayer,BLUM,103354536,,,,
Tandem_Ext_Total_450,'560D4500B,117,Set,Schachermayer,BLUM,103354537,,,,
Tandem_Ext_Total_500,'560F5000B,119,Set,Schachermayer,BLUM,103354538,,,,
Tandem_Ext_Total_550,'560F5500B,124,Set,Schachermayer,BLUM,103354539,,,,
Tandem_Ext_Total_600,'560F6000B,139,Set,Schachermayer,BLUM,103354543,,,,
SCH - Coloana extractibila VS TAL Gate Planero 600,'103378398__,3860.23,,Schachermayer,Vauth Sagel,,,,,
Copie dupa Suport_prindere_Bara_Haine_Polita,'C103385263,22.61,,Schachermayer,Hafele,103385263,,,,
TAL_Gate_Planero_600_2100,'103378398,3860.23,Buc,Schachermayer,Vauth Sagel,,,,,
VS_TAL_Larder_300_2100,'103378867,1446.15,Buc,Schachermayer,Vauth Sagel,,,,,
VS_ADD_DOOR_tavita_mica_80mm,'103342043,147.1,Buc,Schachermayer,Vauth Sagel,,,,,
VS_ADD_DOOR_rola_bucatarie,'103342047,569.04,Buc,Schachermayer,Vauth Sagel,,,,,
VS_ADD_DOOR_de_prosoape,'103342046,187.41,Buc,Schachermayer,Vauth Sagel,,,,,
VS_ADD_DOOR_ustensile_bucatarie_124mm,'103342045,192.66,Buc,Schachermayer,Vauth Sagel,,,,,
VS_COR_FLEX_cu_cosuri,'103378387,3687.53,Buc,Schachermayer,Vauth Sagel,,,,,
VS_ENVI_Space_2x22L,'103370030,1460.67,Buc,Schachermayer,Vauth Sagel,,,,,
PEKA_Sesam_Mini_Libell,'103370626,580.01,Buc,Schachermayer,Vauth Sagel,,,,,
PEKA_Sesam_Libell,'103370497,747.5,,Schachermayer,,,,,,
CORNERSTONE_MAXX_LC,'103379275,2663.08,Buc,Schachermayer,Vauth Sagel,,,,,
Rafix 20,'263.11.703,2.53,Buc,Hafele,Hafele,263.11.703,,,,
Roata pivotanta plastic Tarrox Ø75mm,'6644770,41.9,Buc,HORNBACH,HORNBACH,6644770,,,,
Cep_lemn  8 x 40 mm,'267.82.240,0.25,Buc,Hafele,Hafele,267.82.240,,,,
Minifix_Tirant,'262.28.670,0.33,Buc,Hafele,Hafele,262.28.670,,,,
Minifix_Cama,'262.26.034,0.25,Buc,Hafele,Hafele,262.26.034,,,,
Placuta Balama H_0,'173H7100,0.29,Buc,Schachermayer,BLUM,,,,,
Tip_ON_scurt,'956.1004,17.53,Buxc,Schachermayer,BLUM,103323779,,,,
Tip_On_Carcasa_Scurt,'956.1201,3,Buc,Schachermayer,SIGE,103323785,,,,
Picior_H_27,'103355631,1.66,Buc,Schachermayer,Hafele,103355631,,,,
Suport_Polita,'103340050,0.09,Buc,Schachermayer,Hafele,103340050,,,,
Placuta_cruce_diblu_h_0,'01863003,1.5,Buc,Schachermayer,BLUM,103311521,,,,
Alunecator,'103324076,0.45,Buc,Schachermayer,Hafele,,,,,
PiciorAxilo,'Picior Axilo,15,,Schachermayer,Hafele,,,,,
Comutator_Servo_alb,'23P5020_47090347,236,Buc,Schachermayer,BLUM,,,,,
Comutator_Servo_Gri_inchis,'23P5020_41142877,236,Buc,Schachermayer,BLUM,,,,,
Comutator_Servo_Gri_deschis,'23P5020_40331832,236,Buc,Schachermayer,BLUM,,,,,
Lemans_400_st,'Lemans_400_st,3600,,Schachermayer,Vauth Sagel,,,,,
coloana_jolly_1760_van,'coloana_jolly_1760_van,2800,,Schachermayer,Vauth Sagel,,,,,
coloana_jolly_1760_van_electric,'Ccoloana_jolly_1760_van,2800,,Schachermayer,Vauth Sagel,,,,,
cos_jolly_sige200,'9002730652277,550,buc,Schachermayer,SIGE,,,,,
Unitate_tip_on_blumotion_electric,'Unitate_tip_on_blumotion_electric,2500,,Schachermayer,BLUM,,,,,
Profil_vertical_servo_drive_800,'Z10T800AA,187,buc,Schachermayer,BLUM,,,,,
Balama_Ap_Inserta,'08885093,14.4,Buc,Schachermayer,BLUM,103307102,,,,
Cuplaj BLUM glisiera MOVENTO sertar lemn/PAL reglaj lateral stanga plastic,'06449983,6.9,Buc,Schachermayer,BLUM,,,,,
Cuplaj BLUM glisiera MOVENTO sertar lemn/PAL reglaj lateral dreapta plastic,'06616738,6.9,Buc,Schachermayer,BLUM,,,,,
Cuplaj_Tandem_St,'T51.1700.04_L,3.79,Buc,Schachermayer,BLUM,103357125,,,,
